This file was created using the 202607 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199111  ,-8.10  ,-9.06  ,-9.94  ,-9.23 ,-10.65  ,-9.55 ,-12.01 ,-10.55 ,-10.93 ,-10.56 ,-12.18  ,-7.34 ,-11.04  ,-9.28  ,-9.92 ,-12.06 ,-11.47 ,-10.16  ,-8.78  ,-9.05  ,-9.03  ,-6.11  ,-6.01  ,-7.86  ,-9.29
199112   ,5.78   ,3.49   ,4.17   ,2.86   ,3.99   ,5.25   ,5.74   ,3.35   ,3.14   ,4.41   ,4.83   ,1.25   ,3.65   ,3.00   ,3.71   ,3.90   ,3.30   ,4.16   ,3.82   ,2.75   ,3.51   ,1.95   ,2.58   ,4.11   ,4.18
199201  ,-7.62  ,-7.43  ,-8.98  ,-8.90  ,-6.64  ,-4.37  ,-7.61  ,-7.41  ,-6.40  ,-4.31  ,-6.11  ,-3.89  ,-4.33  ,-4.95  ,-5.78  ,-3.10  ,-4.55  ,-4.43  ,-3.33  ,-2.81  ,-6.22  ,-7.92  ,-5.29  ,-3.59  ,-2.71
199202  ,-4.31  ,-3.58  ,-5.16  ,-2.93  ,-2.42  ,-4.18  ,-3.43  ,-3.09  ,-5.57  ,-5.02  ,-3.99  ,-5.62  ,-4.81  ,-3.89  ,-4.88  ,-2.54  ,-4.65  ,-4.02  ,-4.71  ,-6.22  ,-8.36  ,-6.98  ,-8.25  ,-6.75  ,-8.81
199203 ,-14.27  ,-8.54 ,-11.12 ,-12.46 ,-11.42 ,-14.21 ,-13.56 ,-10.14 ,-11.60 ,-12.38 ,-14.58 ,-13.28 ,-11.43 ,-11.77 ,-10.94 ,-10.02 ,-11.61  ,-9.84 ,-10.54 ,-10.65 ,-13.00 ,-11.38 ,-10.52  ,-8.93 ,-10.10
199204 ,-12.53 ,-11.90 ,-10.01  ,-9.86  ,-6.58 ,-11.06 ,-10.01 ,-12.46 ,-11.61  ,-9.07 ,-13.34 ,-11.66 ,-10.13  ,-7.42  ,-7.62 ,-10.95 ,-11.26  ,-6.84  ,-9.21  ,-6.34  ,-9.37 ,-10.16  ,-7.61  ,-3.39   ,0.67
199205  ,13.93  ,12.03  ,14.13  ,13.00  ,12.79  ,15.65  ,14.43  ,15.91  ,15.18  ,11.81  ,17.85  ,16.47  ,15.25   ,9.64  ,10.33  ,12.79  ,13.11  ,11.20  ,10.22  ,11.66  ,10.15   ,7.90   ,8.25   ,8.18   ,6.16
199206  ,-8.18  ,-8.22  ,-8.29  ,-7.14  ,-8.19 ,-11.09 ,-11.21  ,-8.21  ,-7.56  ,-8.82 ,-12.85 ,-10.66  ,-7.78  ,-8.88  ,-6.25  ,-9.82  ,-9.00  ,-8.27  ,-8.17  ,-7.36  ,-9.71  ,-9.84  ,-8.90  ,-5.98  ,-7.97
199207  ,-8.65  ,-8.44  ,-6.59  ,-7.60  ,-7.55  ,-9.41  ,-8.51  ,-8.45  ,-6.58  ,-5.85  ,-7.70  ,-8.29  ,-7.99  ,-6.35  ,-8.18  ,-7.88  ,-8.95  ,-5.57  ,-5.17  ,-6.90   ,1.98  ,-0.83  ,-3.93  ,-2.92  ,-3.58
199208  ,11.62   ,8.52   ,7.81   ,8.99   ,7.26  ,11.34  ,10.58  ,11.48  ,10.23   ,9.77  ,16.56  ,14.01  ,13.35  ,11.88  ,12.00  ,17.55  ,17.39  ,14.13  ,14.15  ,15.84  ,24.26  ,17.68  ,16.53  ,13.98  ,11.81
