date,Mkt-RF,SMB,HML,RF
2005-12-01,9.45,4.7,-6.14,0.32
2006-01-01,3.54,-0.25,2.44,0.35
2006-02-01,-2.58,-5.04,3.74,0.34
2006-03-01,2.67,0.36,-1.09,0.37
2006-04-01,2.09,-1.23,1.39,0.36
2006-05-01,-7.4,-2.84,2.7,0.43
2006-06-01,-1.77,-1.58,-0.47,0.4
2006-07-01,-2.2,-5.96,5.26,0.4
2006-08-01,1.31,0.72,-1.77,0.42
2006-09-01,-2.07,-1.39,0.53,0.41
2006-10-01,1.25,-2.35,-1.1,0.41
2006-11-01,-0.45,-1.97,2.15,0.42
2006-12-01,1.42,-1.99,1.22,0.4
2007-01-01,0.4,0.49,0.22,0.44
2007-02-01,3.46,-1.2,2.75,0.38
2007-03-01,-1.7,0.14,2.67,0.43
2007-04-01,-2.75,-1.53,2.47,0.44
2007-05-01,0.37,-3.66,0.16,0.41
2007-06-01,-0.32,2.96,-0.66,0.4
2007-07-01,-0.42,0.6,0.44,0.4
2007-08-01,-3.8,-3.35,1.47,0.42
2007-09-01,1.41,-2.74,0.06,0.32
2007-10-01,0.07,3.53,-5.29,0.32
2007-11-01,-2.29,-1.51,0.24,0.34
2007-12-01,-3.99,-2.13,2.16,0.27
2008-01-01,-4.9,-0.86,3.85,0.21
2008-02-01,1.01,2.06,-0.64,0.13
2008-03-01,-3.71,3.12,1.7,0.17
2008-04-01,6.22,-6.42,-1.29,0.18
2008-05-01,2.03,1.23,1.18,0.18
2008-06-01,-6.61,1.19,3.68,0.17
2008-07-01,-3.12,-1.46,2.31,0.15
2008-08-01,-4.36,-2.87,1.13,0.13
2008-09-01,-10.5,1.12,5.22,0.15
2008-10-01,-13.55,3.94,4.53,0.08
2008-11-01,0.05,3.96,-0.03,0.03
2008-12-01,8.57,0.78,0.26,0.0
2009-01-01,-6.5,3.69,-0.1,0.0
2009-02-01,-11.93,-1.14,0.6,0.01
2009-03-01,1.3,0.08,0.72,0.02
2009-04-01,8.05,-3.82,-1.39,0.01
2009-05-01,10.89,2.19,-3.44,0.0
2009-06-01,2.85,4.52,0.05,0.01
2009-07-01,4.06,-1.39,0.61,0.01
2009-08-01,3.4,2.95,-0.39,0.01
2009-09-01,-0.84,2.11,-4.82,0.01
2009-10-01,-2.29,-0.58,1.23,0.0
2009-11-01,-2.0,-3.07,-4.0,0.0
2009-12-01,0.22,-3.79,6.21,0.01
2010-01-01,2.34,0.37,0.28,0.0
2010-02-01,0.76,1.01,-1.33,0.0
2010-03-01,4.83,-1.49,6.13,0.01
2010-04-01,0.53,4.48,1.07,0.01
2010-05-01,-7.93,1.91,-3.5,0.01
2010-06-01,-0.64,1.86,-3.18,0.01
2010-07-01,2.94,-1.37,-1.36,0.01
2010-08-01,-2.61,-0.81,0.71,0.01
2010-09-01,4.69,-0.55,-1.59,0.01
2010-10-01,1.23,-3.44,-0.85,0.01
2010-11-01,1.97,0.74,0.28,0.01
2010-12-01,7.55,2.84,1.33,0.01
2011-01-01,0.4,1.86,0.97,0.01
2011-02-01,4.83,-0.19,1.09,0.01
2011-03-01,-8.67,2.14,1.32,0.01
