date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1992-11-01,-1.77,-0.63,-3.36,-2.87,-1.63,-0.3,-1.89,-1.25,-0.68,-1.1,1.59,1.03,1.02,0.14,-0.4,3.65,3.76,1.75,0.76,1.32,4.15,2.3,1.9,1.45,2.02
1992-12-01,0.25,1.18,3.01,3.83,4.59,1.25,0.54,-0.26,2.08,1.63,-1.6,-1.73,1.13,1.96,2.0,-3.47,-3.14,-3.02,-0.99,0.26,-1.57,-0.7,-1.17,-1.8,0.6
1993-01-01,-3.4,-3.58,-2.5,-4.18,-2.26,-3.52,-2.1,-2.45,-0.49,-1.25,-0.56,-1.46,-3.07,-1.77,-2.0,-1.13,-0.77,-0.42,-0.93,-2.38,0.38,-1.02,-0.35,-0.24,-0.58
1993-02-01,5.62,8.16,7.19,9.56,10.92,6.71,5.04,5.67,4.46,5.51,3.83,7.46,4.79,5.56,4.75,6.04,5.96,3.98,4.05,4.85,4.14,6.42,3.63,3.95,2.15
1993-03-01,16.22,16.64,15.31,16.71,15.87,18.01,17.98,15.86,16.18,17.57,14.38,14.41,16.45,18.08,19.54,14.87,15.67,13.33,12.96,17.41,10.71,19.16,14.36,17.66,20.1
1993-04-01,17.83,19.28,18.08,18.02,19.89,17.26,16.82,18.53,16.79,20.78,15.79,15.95,16.95,18.09,21.11,13.65,14.46,16.58,17.0,19.83,13.08,16.33,19.48,18.88,19.34
1993-05-01,22.06,22.53,21.39,23.66,21.76,13.17,17.73,15.6,15.91,14.41,8.58,11.43,10.24,12.95,11.85,6.87,8.22,8.35,7.83,7.98,6.77,3.63,2.88,2.07,-0.75
1993-06-01,-6.44,-7.3,-7.03,-5.62,-6.57,-3.7,-5.07,-6.3,-5.58,-7.77,-6.68,-6.48,-8.26,-6.21,-5.91,-7.05,-5.65,-5.03,-4.44,-3.65,-0.85,-2.86,-4.53,-5.29,-5.46
1993-07-01,1.03,0.58,2.04,1.12,0.8,3.83,2.07,4.22,3.02,3.74,2.5,3.82,4.4,3.61,5.68,5.7,5.02,6.18,5.73,4.81,8.98,7.16,7.29,7.49,8.39
1993-08-01,0.51,1.26,1.8,2.56,1.16,4.9,3.78,1.36,2.71,0.91,2.41,1.21,2.67,1.87,2.23,2.43,2.43,3.33,1.3,0.67,2.53,1.93,1.63,3.83,3.9
1993-09-01,-5.71,-6.67,-1.54,-4.58,-5.81,-3.45,-3.33,-3.21,-4.56,-4.37,-2.66,-2.61,-2.86,-3.25,-5.35,-2.69,-2.64,-4.72,-4.34,-4.33,-4.28,-6.2,-6.55,-4.63,-4.73
1993-10-01,-8.97,-9.65,-9.33,-9.78,-9.52,-8.97,-10.14,-10.72,-10.33,-8.02,-8.87,-7.03,-8.73,-7.7,-7.11,-8.65,-7.02,-5.98,-5.52,-5.44,-2.32,0.19,-0.47,-1.44,0.62
1993-11-01,-16.42,-13.7,-15.33,-16.48,-14.06,-17.56,-18.22,-18.56,-19.71,-18.47,-17.25,-16.27,-18.04,-17.79,-21.34,-17.07,-15.76,-14.89,-16.03,-18.39,-15.08,-17.02,-14.08,-17.41,-14.28
1993-12-01,0.01,-0.47,1.28,1.61,0.57,0.94,3.05,1.56,4.57,2.7,0.82,2.67,1.9,2.72,3.87,0.17,0.1,2.17,3.33,2.03,0.49,2.16,1.4,3.38,5.7
1994-01-01,17.76,15.32,13.59,20.67,18.62,18.56,19.1,21.21,17.86,19.41,19.31,17.33,16.17,15.89,23.08,17.78,14.14,14.86,15.97,18.78,14.67,16.91,15.92,18.54,20.56
1994-02-01,4.55,5.06,4.65,5.02,6.26,3.89,2.8,5.24,4.36,7.5,3.9,5.43,4.23,5.33,5.28,3.37,6.3,3.38,5.19,5.75,2.57,2.68,4.02,4.48,6.33
1994-03-01,3.66,3.01,5.81,2.54,4.96,2.51,2.38,2.45,6.07,3.27,0.95,0.35,1.84,1.3,4.22,-0.73,-0.85,1.16,1.56,2.09,-3.51,-4.41,-2.55,-1.46,-1.95
1994-04-01,7.41,12.18,4.07,7.43,9.17,5.35,5.36,3.89,5.81,5.21,2.77,3.18,3.54,4.35,2.84,2.6,3.03,2.23,4.02,4.43,3.55,3.28,4.32,3.06,2.67
1994-05-01,0.89,-1.74,0.76,0.31,2.52,-2.14,-0.77,0.92,0.11,0.4,0.16,-1.97,0.25,-0.09,0.87,0.02,0.3,0.91,0.68,1.88,0.42,-0.34,3.19,4.77,4.53
1994-06-01,12.51,12.21,11.72,10.91,16.18,7.56,9.75,7.52,12.03,11.72,5.16,8.24,8.17,10.29,11.62,6.36,4.67,6.76,8.19,10.17,4.23,4.67,6.23,6.2,6.81
1994-07-01,-2.52,-3.08,-3.97,-2.19,-4.19,-3.11,-4.84,-2.48,-3.29,-2.4,-2.19,-4.16,-3.06,-4.15,-3.71,-2.77,-3.36,-2.49,-2.53,-4.09,-3.24,-4.06,-3.95,-4.17,-6.64
1994-08-01,-3.32,-2.57,-1.59,-2.6,-1.22,-1.7,-2.59,0.08,-1.32,-3.27,-2.08,-1.62,-0.02,-1.45,-0.32,-1.85,-1.46,-0.57,-0.22,-0.56,0.0,1.24,1.1,-1.36,2.17
1994-09-01,-5.4,-4.91,-4.84,-2.77,-4.14,-4.79,-4.16,-6.14,-4.43,-3.87,-5.32,-5.1,-2.78,-5.0,-3.87,-3.34,-5.63,-2.53,-2.62,-2.65,-3.49,-2.44,-2.04,-1.86,-2.55
1994-10-01,4.56,3.44,2.64,4.4,3.91,3.39,2.18,3.29,1.66,3.08,0.67,0.93,0.51,1.39,1.84,0.34,0.66,1.4,1.82,2.08,2.28,1.91,3.45,4.08,4.93
