date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1992-12-01,2.72,2.41,2.99,3.57,3.3,1.69,2.25,1.41,2.0,3.26,0.33,3.73,1.72,2.31,2.38,0.04,1.14,1.22,0.44,1.91,-0.56,1.36,1.41,0.83,1.75
1993-01-01,1.12,2.07,3.1,2.56,5.84,0.33,2.07,1.42,2.77,3.67,-0.66,2.08,1.18,1.61,1.57,-0.23,0.97,1.38,1.18,1.7,-1.72,0.09,-0.03,1.15,3.47
1993-02-01,-2.85,-1.02,0.75,2.53,2.53,-1.18,-1.08,1.78,2.46,3.9,-1.22,1.44,2.44,2.81,3.38,-0.66,1.6,3.3,2.66,2.65,-0.32,2.58,3.92,4.4,2.6
1993-03-01,4.99,6.08,6.4,7.84,6.91,7.81,6.54,6.69,7.53,7.16,7.96,7.16,7.6,7.94,10.44,8.88,7.67,7.95,7.78,10.31,4.06,8.58,6.23,6.3,8.67
1993-04-01,3.44,3.59,3.86,5.71,3.47,5.35,4.42,5.42,6.0,6.34,5.07,3.99,6.63,6.91,9.19,4.45,4.1,6.47,7.31,7.76,1.24,4.49,4.91,4.83,7.22
1993-05-01,9.74,6.54,7.83,7.11,6.88,7.5,7.03,7.89,7.66,6.72,7.13,6.11,5.67,5.91,6.85,5.25,4.18,3.76,4.63,4.08,4.14,2.88,2.28,1.62,0.57
1993-06-01,-3.13,-2.61,-2.71,-1.75,-0.53,-2.25,-2.55,-2.8,-3.02,-2.22,-3.64,-1.02,-4.12,-1.91,-3.37,-3.79,-3.11,-2.63,-2.24,-2.17,-2.14,-1.59,-1.38,-1.36,-1.04
1993-07-01,-0.67,-0.06,0.99,1.75,2.5,0.32,0.27,-0.16,1.3,1.52,1.45,1.03,2.69,2.05,1.38,1.14,2.55,2.4,3.26,3.0,1.13,2.91,2.88,3.89,3.39
1993-08-01,5.11,5.27,5.7,5.64,6.81,5.32,5.47,5.56,5.77,5.54,4.28,4.87,4.84,5.66,5.67,4.36,4.83,5.25,4.53,4.94,4.49,3.65,4.48,4.93,5.3
1993-09-01,-1.12,0.63,0.46,0.15,1.11,-0.6,0.7,0.2,0.19,-1.19,-0.65,-0.36,-0.62,-0.13,-1.57,-1.1,-0.06,-1.56,-1.84,-2.48,-2.09,-3.07,-1.88,-1.0,-1.59
1993-10-01,4.24,2.72,3.47,2.31,3.2,0.87,1.87,1.05,-0.22,0.44,0.02,-0.32,-1.02,-0.85,0.08,-0.54,-0.45,-0.74,-0.49,0.09,3.02,1.39,1.66,0.6,1.55
1993-11-01,-3.76,-2.12,-2.16,-1.34,-2.21,-4.71,-4.5,-4.13,-5.52,-4.8,-6.08,-6.9,-7.25,-6.28,-7.08,-6.4,-6.16,-6.41,-7.16,-6.54,-3.99,-7.91,-5.62,-6.36,-6.66
1993-12-01,3.48,4.72,3.94,5.77,4.92,3.02,4.62,5.01,5.33,5.3,4.07,5.26,4.78,5.72,7.19,4.02,4.77,5.89,6.21,7.02,2.5,3.72,4.32,4.22,6.63
1994-01-01,6.62,7.35,7.72,7.52,10.05,5.93,5.87,6.0,8.42,10.55,7.93,7.42,8.3,7.4,11.23,7.63,6.95,8.24,6.8,11.06,4.42,9.13,7.26,6.11,10.6
1994-02-01,-1.38,0.16,1.03,0.11,0.84,-0.88,-0.23,1.19,0.4,0.41,0.51,1.31,0.79,0.69,0.2,-0.39,0.22,-0.75,-0.19,-0.56,-1.73,-0.79,-1.23,-2.28,-0.7
